card_set,total_cards,signed_cards,known_autos,unknown_autos,total_known_signed_cards
"2018 limited ring of honor",1,0,0,0,0
"2018 limited ring of honor emerald",1,0,0,0,0
"2018 limited ring of honor gold",1,0,0,0,0
"2018 limited ring of honor sapphire",1,0,0,0,0
"2018 limited ring of honor silver",1,0,0,0,0
"2018 masterstrokes",1,0,0,0,0
"2018 one patch autographs black",1,1,1,0,1
"2018 one patch autographs bronze",1,1,1,0,33
"2018 one patch autographs gold",1,1,1,0,10
"2018 one patch autographs platinum",1,1,1,0,5
"2018 one patch autographs red",1,1,1,0,25
"2018 panini flawless collegiate - dual patch autographs",1,1,0,1,0
"2018 panini flawless collegiate - dual patch autographs black",3,3,3,0,3
"2018 panini flawless collegiate - dual patch autographs emerald",2,2,2,0,10
"2018 panini flawless collegiate - dual patch autographs gold",2,2,2,0,20
"2018 panini flawless collegiate - flawless dual signatures black",4,4,0,4,0
"2018 panini flawless collegiate - flawless dual signatures emerald",4,4,0,4,0
"2018 panini flawless collegiate - flawless dual signatures gold",4,4,0,4,0
"2018 panini flawless collegiate - flawless team logo signatures",1,1,1,0,25
"2018 panini flawless collegiate - flawless team logo signatures black",2,2,2,0,2
"2018 panini flawless collegiate - flawless team logo signatures emerald",2,2,2,0,10
"2018 panini flawless collegiate - flawless team logo signatures gold",2,2,2,0,20
"2018 panini flawless collegiate - flawless team logo signatures sapphire",2,2,2,0,28
"2018 panini flawless collegiate - flawless team slogan signatures",1,1,0,1,0
"2018 panini flawless collegiate - flawless team slogan signatures emerald",1,1,0,1,0
"2018 panini flawless collegiate - flawless team slogan signatures gold",1,1,0,1,0
"2018 panini flawless collegiate - flawless team slogan signatures sapphire",1,1,0,1,0
"2018 panini flawless collegiate - patch autographs black",3,3,3,0,3
"2018 panini flawless collegiate - patch autographs emerald",3,3,3,0,14
"2018 panini flawless collegiate - patch autographs gold",2,2,2,0,20
"2018 panini flawless collegiate football - dual patch autographs",1,1,0,1,0
"2018 panini flawless collegiate football - dual patch autographs black",2,2,0,2,0
"2018 panini flawless collegiate football - dual patch autographs emerald",2,2,0,2,0
"2018 panini flawless collegiate football - dual patch autographs gold",2,2,0,2,0
"2018 panini flawless collegiate football - dual patch autographs sapphire",3,3,1,2,15
"2018 panini flawless collegiate football - patch autographs",1,1,0,1,0
"2018 panini flawless collegiate football - patch autographs black",2,2,0,2,0
"2018 panini flawless collegiate football - patch autographs emerald",2,2,0,2,0
"2018 panini flawless collegiate football - patch autographs gold",2,2,0,2,0
"2018 panini flawless collegiate football - patch autographs sapphire",3,3,1,2,15
"2018 panini flawless football - captain",1,0,0,0,0
"2018 panini flawless football - captain emerald",1,0,0,0,0
"2018 panini flawless football - captain platinum",1,0,0,0,0
"2018 panini flawless football - captain ruby",1,0,0,0,0
"2018 panini flawless football - captain sapphire",1,0,0,0,0
"2018 panini flawless football - captain silver",1,0,0,0,0
"2018 panini flawless football - captians",1,0,0,0,0
"2018 panini flawless football - career progressions",6,0,0,0,0
"2018 panini flawless football - career progressions emerald",6,0,0,0,0
"2018 panini flawless football - career progressions platinum",6,0,0,0,0
"2018 panini flawless football - career progressions ruby",6,0,0,0,0
"2018 panini flawless football - career progressions sapphire",6,0,0,0,0
"2018 panini flawless football - career progressions silver",6,0,0,0,0
"2018 panini flawless football - distinguished patch autographs emerald",1,1,0,1,0
"2018 panini flawless football - distinguished patch autographs ruby",1,1,0,1,0
"2018 panini flawless football - distinguished patch autographs sapphire",1,1,0,1,0
"2018 panini flawless football - distinguished patch autographs silver",1,1,0,1,0
"2018 panini flawless football - flawless draft gems",1,0,0,0,0
"2018 panini flawless football - flawless draft gems emerald",1,0,0,0,0
"2018 panini flawless football - flawless draft gems platinum",1,0,0,0,0
"2018 panini flawless football - flawless draft gems ruby",1,0,0,0,0
"2018 panini flawless football - flawless draft gems sapphire",1,0,0,0,0
"2018 panini flawless football - flawless draft gems silver",1,0,0,0,0
"2018 panini flawless football - greats",1,0,0,0,0
"2018 panini flawless football - greats emerald",1,0,0,0,0
"2018 panini flawless football - greats platinum",1,0,0,0,0
"2018 panini flawless football - greats ruby",1,0,0,0,0
"2018 panini flawless football - greats sapphire",1,0,0,0,0
"2018 panini flawless football - greats silver",1,0,0,0,0
"2018 panini flawless football - patch autographs",2,2,0,2,0
"2018 panini flawless football - patch autographs emerald",1,1,0,1,0
"2018 panini flawless football - patch autographs platinum",2,2,0,2,0
"2018 panini flawless football - patch autographs ruby",1,1,0,1,0
"2018 panini flawless football - patch autographs sapphire",1,1,0,1,0
